MITRE_TTP,Sum
T1595,0.9896907216494846
T1592,-3.9690721649484537
T1589,0.030927835051546393
T1590,-0.8556701030927835
T1591,-1.9690721649484537
T1598,0.030927835051546393
T1597,0.09278350515463918
T1596,-0.7422680412371134
T1593,-0.7216494845360826
T1594,-0.8762886597938144
T1650,-1.9175257731958764
T1583,-1.9175257731958764
T1586,0
T1584,-1.9175257731958764
T1587,-0.4226804123711341
T1585,0.030927835051546393
T1588,-2.0
T1608,-1.9175257731958764
T1659,0.5773195876288659
T1189,0.1958762886597938
T1190,0.5773195876288659
T1133,0.5773195876288659
T1200,0
T1566,0.1134020618556701
T1091,0.13402061855670103
T1195,-3.9175257731958766
T1199,-3.9175257731958766
T1078,-0.7113402061855669
T1669,-0.8350515463917526
T1651,0.28865979381443296
T1059,0.31958762886597936
T1609,0.28865979381443296
T1610,0.28865979381443296
T1675,0.28865979381443296
T1203,0.28865979381443296
T1674,0.28865979381443296
T1559,0.28865979381443296
T1106,0.28865979381443296
T1053,0.28865979381443296
T1648,0.28865979381443296
T1129,0.28865979381443296
T1072,0.28865979381443296
T1569,0.28865979381443296
T1204,0.28865979381443296
T1047,0.28865979381443296
T1557,0.08247422680412371
T1110,0.4329896907216494
T1555,0.05154639175257732
T1212,0.21649484536082478
T1187,0.13402061855670105
T1606,0.3298969072164948
T1056,0.020618556701030924
T1556,-1.8350515463917525
T1111,-0.9484536082474226
T1621,-0.9484536082474226
T1040,0.22680412371134023
T1003,-1.6804123711340204
T1528,0.37113402061855666
T1649,-0.6391752577319587
T1558,-1.6082474226804124
T1539,0.35051546391752575
T1552,0.25773195876288657
